trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",30,0,-207.65064131561377,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-117.77836907000841,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'e': 1.0, 'a': 0.5}",25,0,-174.91193344943287,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'e': 1.0, 'a': 0.5}",25,1,-148.9194465731957,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 1}",1
5,False,"{'e': 1.0, 'a': 0.5}",20,0,-93.57690598656417,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",30,0,-148.81890914057098,"{0: 14, 1: 9, 2: 4, 3: 2, 4: 1}",0
7,False,"{'e': 1.0, 'a': 0.5}",25,0,-86.60065667556404,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'e': 1.0, 'a': 0.5}",20,0,-38.02120236672562,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'e': 1.0, 'a': 0.5}",25,0,-136.04374050565767,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
10,False,"{'e': 1.0, 'a': 0.5}",25,0,-82.63919399341692,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
11,False,"{'e': 1.0, 'a': 0.5}",30,0,-288.15084103058115,"{0: 13, 1: 5, 2: 4, 3: 4, 4: 4}",0
12,False,"{'e': 1.0, 'a': 0.5}",25,0,-105.7832348210211,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",20,0,-199.78806018731365,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
14,False,"{'e': 1.0, 'a': 0.5}",20,0,-135.5353877198639,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'e': 1.0, 'a': 0.5}",20,0,-61.12296976621286,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
16,False,"{'e': 1.0, 'a': 0.5}",25,0,-135.81511670347314,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
17,False,"{'e': 1.0, 'a': 0.5}",25,0,-129.83334102820243,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-97.5138081170425,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'e': 1.0, 'a': 0.5}",20,0,-86.90278585162554,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-149.97021165525476,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
1,True,"{'e': 1.0, 'a': 0.5}",25,0,-122.87329011791402,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
2,True,"{'e': 1.0, 'a': 0.5}",20,0,-107.04105686846087,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",30,0,-149.4853830731334,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
4,True,"{'e': 1.0, 'a': 0.5}",35,0,-146.675186787768,"{0: 20, 1: 7, 2: 6, 3: 0, 4: 2}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,0,-73.53594507573688,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,True,"{'e': 1.0, 'a': 0.5}",25,11,-153.32436977685154,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 3}",1
7,True,"{'e': 1.0, 'a': 0.5}",20,0,-172.75944386244188,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
8,True,"{'e': 1.0, 'a': 0.5}",25,0,-88.39317945511834,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
9,True,"{'e': 1.0, 'a': 0.5}",20,0,-57.551866210340314,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-102.73784764832105,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
