trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.2}",25,0,-48.248662193074296,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'e': 0.9753099120283326, 'a': 0.2}",30,0,-153.9283356947607,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
3,False,"{'e': 0.9464851479534838, 'a': 0.2}",20,15,-4.843807922381124,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'e': 0.9417645335842487, 'a': 0.2}",30,0,-110.68028150082843,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
5,False,"{'e': 0.9139311852712282, 'a': 0.2}",25,0,-201.67871148692979,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 4}",0
6,False,"{'e': 0.8913661439068313, 'a': 0.2}",30,0,-168.7286389096327,"{0: 18, 1: 4, 2: 3, 3: 3, 4: 2}",0
7,False,"{'e': 0.8650222931107413, 'a': 0.2}",30,0,-122.27281229452556,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
8,False,"{'e': 0.8394570207692074, 'a': 0.2}",30,0,-96.49630804230767,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'e': 0.8146473164114145, 'a': 0.2}",20,0,-20.32362833734604,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'e': 0.7985162187593771, 'a': 0.2}",20,0,-97.10452224467073,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'e': 0.7827045382418681, 'a': 0.2}",20,0,-109.24434003418305,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
12,False,"{'e': 0.7672059499758557, 'a': 0.2}",25,17,-0.03988591724774526,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'e': 0.7610927876289343, 'a': 0.2}",20,5,-56.54083383294568,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'e': 0.7497615922390413, 'a': 0.2}",20,0,-39.34595570152711,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'e': 0.7349153180090687, 'a': 0.2}",25,12,9.091653891983258,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'e': 0.7254232509901412, 'a': 0.2}",20,0,-81.26262979168195,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'e': 0.7110589082064097, 'a': 0.2}",20,0,-36.354988831074856,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'e': 0.6969789984668727, 'a': 0.2}",20,0,-35.963903239314256,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'e': 0.6831778896198997, 'a': 0.2}",25,1,-37.47461963588732,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 0}",1
20,False,"{'e': 0.6669768108584744, 'a': 0.2}",20,0,-66.90356325906149,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
21,False,"{'e': 0.6537697851298473, 'a': 0.2}",20,0,-189.4294387015502,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
22,False,"{'e': 0.6408242760323187, 'a': 0.2}",25,0,-52.456750235442236,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
23,False,"{'e': 0.6250022682827008, 'a': 0.2}",20,0,-96.31308320770677,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
24,False,"{'e': 0.6126263941844161, 'a': 0.2}",25,13,18.92864641124202,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'e': 0.6053188106462243, 'a': 0.2}",30,15,4.683023076961094,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'e': 0.596306787633921, 'a': 0.2}",35,19,-63.33557714528094,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
27,False,"{'e': 0.5868418008449466, 'a': 0.2}",25,0,-45.02396861468816,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
28,False,"{'e': 0.5723526251566332, 'a': 0.2}",20,7,-43.54636350270501,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
29,False,"{'e': 0.5649601959293262, 'a': 0.2}",25,0,-89.70703518261038,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
30,False,"{'e': 0.5510112789913407, 'a': 0.2}",25,8,-3.602197980286526,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'e': 0.541723259102941, 'a': 0.2}",25,17,5.085762011334885,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'e': 0.5374067620396636, 'a': 0.2}",20,0,-81.10695625903173,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
33,False,"{'e': 0.5267653951773574, 'a': 0.2}",20,0,-124.46630812533671,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
34,False,"{'e': 0.5163347414967544, 'a': 0.2}",25,0,-93.19087658277736,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
35,False,"{'e': 0.5035863913063714, 'a': 0.2}",25,6,-14.924159484248197,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
36,False,"{'e': 0.4941085742561417, 'a': 0.2}",25,0,-15.187375948075045,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
37,False,"{'e': 0.48190899009020244, 'a': 0.2}",20,12,3.2670329171857553,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
