trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",30,0,-219.65196049518,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-143.8789165144738,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",35,0,-156.76443453572054,"{0: 19, 1: 4, 2: 11, 3: 0, 4: 1}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-90.65841015019608,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-28.973630684173994,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",30,7,-166.23111385841838,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 3}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-101.47837052930703,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-154.62122102069264,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",25,5,-80.31006103069204,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,0,-83.97750049315049,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",30,0,-98.59587091814751,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,0,31.369536841354805,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",20,0,6.196554822061599,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",35,0,-128.44150749945575,"{0: 28, 1: 2, 2: 1, 3: 1, 4: 3}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,0,-21.002242717490592,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,14,9.51492034984436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,0,5.8568283826033785,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,0,-12.216259258427508,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,18,-11.519646056383342,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",20,3,26.068880934594567,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,0,4.968152506379813,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",30,7,42.586260753738216,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,0,23.96576588008855,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",30,11,38.283670516149236,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",20,7,19.211600851609564,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",35,11,27.391160070259282,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",20,12,13.252348639512636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",30,0,35.12716867361505,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'e': 0, 'a': 0}",25,17,17.21743687963911,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,12,-8.423194337893966,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
