trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-113.03340787595772,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",20,0,-82.13257471866834,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",20,0,-128.4633969142226,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",35,0,-304.23639965995164,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 6}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",25,0,-101.60465546106194,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-83.8348533023982,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-68.83863880806341,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",20,0,-72.51881746723335,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,14,8.804856533460239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",20,10,-14.926393297687245,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-2.2551993381866113,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,7,-42.44394486770416,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,9,-40.683056453730146,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",25,0,-58.13294481351531,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",20,1,-81.57382423879622,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,0,23.351797797718113,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,9,21.788464822375822,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,0,-101.2766015726027,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,15,10.141355007859755,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,11,-57.10481883938668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
1,True,"{'e': 0, 'a': 0}",20,12,-9.773164920949624,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,12,14.178512491013954,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,0,8.493416754828706,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",20,9,23.857189120022127,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",30,13,19.072464986908756,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",30,20,17.70559773726602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,17,5.162362878337941,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,15,20.09122834238169,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,20,9.470804580543017,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,16,7.490312838339692,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
