trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",25,0,-92.76912487233074,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",25,0,-92.4172676460096,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",30,0,-146.70130164328407,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",30,0,-195.25684564862289,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,-90.71686220061065,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",35,9,-51.69519648646091,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 0}",1
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,2,-20.663893046377478,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",25,0,-89.47701747175594,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",35,12,-66.9838132632565,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",35,11,2.4463569892809205,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,0,-46.738128425137994,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",20,0,-44.713183881053965,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",25,4,-59.18782360253412,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",30,5,-6.30303838872793,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",1
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",25,2,30.966806219700267,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,8,13.229342786560668,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",25,0,-6.022655689651653,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",25,4,-8.987706904295068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",25,10,31.549142401428583,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,2,-5.46528913337246,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,12,25.57743709808591,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",30,8,29.854384918028675,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,0,31.16997588639665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'e': 0, 'a': 0}",25,4,32.02974729175376,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,11,-16.516150997595563,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'e': 0, 'a': 0}",20,8,21.02039408822813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,12,22.144933491370814,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",30,8,38.48429912139282,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,3,33.759272977473756,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",30,7,36.16728233776601,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
