trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.1}",25,0,-73.44706547319615,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'e': 0.9753099120283326, 'a': 0.1}",35,0,-335.38618490674014,"{0: 15, 1: 5, 2: 7, 3: 3, 4: 5}",0
3,False,"{'e': 0.9417645335842487, 'a': 0.1}",20,0,-149.68897930809533,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
4,False,"{'e': 0.9231163463866358, 'a': 0.1}",25,0,-58.095634479391435,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
5,False,"{'e': 0.9003245225862656, 'a': 0.1}",20,3,-115.79163830183289,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
6,False,"{'e': 0.8851483685026271, 'a': 0.1}",20,0,-99.96784252212638,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'e': 0.867621256485914, 'a': 0.1}",25,0,-166.63607267830884,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 4}",0
8,False,"{'e': 0.8461996113371882, 'a': 0.1}",25,0,-55.25160913161511,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'e': 0.8253068684916823, 'a': 0.1}",25,0,-100.83549465533896,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
10,False,"{'e': 0.8049299693050015, 'a': 0.1}",20,0,-139.0163709567436,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
11,False,"{'e': 0.7889912880176096, 'a': 0.1}",30,0,-193.9599458702149,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
12,False,"{'e': 0.7656730714653739, 'a': 0.1}",20,0,-60.15092581225985,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'e': 0.750511728837068, 'a': 0.1}",20,0,-17.10678733299964,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
14,False,"{'e': 0.7356506009072533, 'a': 0.1}",25,0,-79.69281299008779,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
15,False,"{'e': 0.7174873228544433, 'a': 0.1}",20,0,-89.81832158760749,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
16,False,"{'e': 0.7032801219763409, 'a': 0.1}",25,0,-77.70327545784752,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
17,False,"{'e': 0.6859160738960202, 'a': 0.1}",30,5,-34.9458190417623,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'e': 0.6689807456903467, 'a': 0.1}",25,0,-159.75022501965978,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
19,False,"{'e': 0.6524635522279004, 'a': 0.1}",20,0,-124.5583607917306,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,False,"{'e': 0.6395439082748009, 'a': 0.1}",30,17,-11.925091328563468,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
21,False,"{'e': 0.631283645506926, 'a': 0.1}",25,0,-91.11874206051611,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
22,False,"{'e': 0.6156971967642851, 'a': 0.1}",20,0,-99.41572592162608,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
23,False,"{'e': 0.6035055754270405, 'a': 0.1}",35,21,-148.74361936233615,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 3}",1
24,False,"{'e': 0.5951153658775501, 'a': 0.1}",20,0,-30.140355735689198,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
25,False,"{'e': 0.5833312920976388, 'a': 0.1}",30,0,-84.82406041182075,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
26,False,"{'e': 0.5660912469952337, 'a': 0.1}",30,4,-23.374056692896758,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
27,False,"{'e': 0.5515625658678298, 'a': 0.1}",20,1,-13.073171894544057,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
28,False,"{'e': 0.5411818066152029, 'a': 0.1}",20,16,7.584790349748198,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'e': 0.539021403076357, 'a': 0.1}",20,0,-75.31503241802332,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
30,False,"{'e': 0.528348064179391, 'a': 0.1}",30,7,-110.50448554023849,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
31,False,"{'e': 0.5163347414967544, 'a': 0.1}",25,0,-7.799055021412497,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
32,False,"{'e': 0.5035863913063714, 'a': 0.1}",25,3,-30.808217670881568,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
33,False,"{'e': 0.49262846980013547, 'a': 0.1}",30,20,4.259752626452922,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,False,"{'e': 0.4877267346257312, 'a': 0.1}",30,0,-70.75912453925187,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
35,False,"{'e': 0.4733122312097393, 'a': 0.1}",30,0,-119.9794112738222,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
36,False,"{'e': 0.45932374075137034, 'a': 0.1}",20,0,-86.06516140726688,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
37,False,"{'e': 0.45022852130278923, 'a': 0.1}",20,0,-74.04205378537672,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
38,False,"{'e': 0.44131339926585617, 'a': 0.1}",20,0,-12.694165704646938,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",1
39,False,"{'e': 0.43257480847288665, 'a': 0.1}",25,15,-7.3441224338571836,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'e': 0.4282706172126597, 'a': 0.1}",20,10,1.305447428011675,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'e': 0.4240092533710473, 'a': 0.1}",30,9,-25.396307597938854,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 1}",1
42,False,"{'e': 0.4151979020538666, 'a': 0.1}",25,14,1.2126104041172485,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'e': 0.4106557527523455, 'a': 0.1}",25,3,9.679766652408446,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'e': 0.401719980097586, 'a': 0.1}",20,4,-63.18248664678374,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
